mode: atomic
stream/main.go:30.13,39.40 1 0
stream/application/ticketsV2/repository/repository.go:23.110,25.16 2 0
stream/application/ticketsV2/repository/repository.go:25.16,27.3 1 0
stream/application/ticketsV2/repository/repository.go:29.2,30.16 2 0
stream/application/ticketsV2/repository/repository.go:30.16,32.3 1 0
stream/application/ticketsV2/repository/repository.go:33.2,33.18 1 0
stream/application/ticketsV2/repository/repository.go:37.111,39.16 2 0
stream/application/ticketsV2/repository/repository.go:39.16,41.3 1 0
stream/application/ticketsV2/repository/repository.go:43.2,45.16 3 0
stream/application/ticketsV2/repository/repository.go:45.16,47.3 1 0
stream/application/ticketsV2/repository/repository.go:48.2,48.19 1 0
stream/application/ticketsV2/repository/repository.go:52.71,54.16 2 0
stream/application/ticketsV2/repository/repository.go:54.16,56.3 1 0
stream/application/ticketsV2/repository/repository.go:57.2,57.21 1 0
stream/application/ticketsV2/repository/repository.go:61.89,63.16 2 0
stream/application/ticketsV2/repository/repository.go:63.16,65.3 1 0
stream/application/ticketsV2/repository/repository.go:67.2,68.16 2 0
stream/application/ticketsV2/repository/repository.go:68.16,70.3 1 0
stream/application/ticketsV2/repository/repository.go:72.2,73.30 2 0
stream/application/ticketsV2/repository/repository.go:73.30,80.3 2 0
stream/application/ticketsV2/repository/repository.go:82.2,82.22 1 0
stream/application/ticketsV2/repository/repository.go:86.36,88.16 2 0
stream/application/ticketsV2/repository/repository.go:88.16,90.3 1 0
stream/application/ticketsV2/repository/repository.go:91.2,91.22 1 0
stream/middleware/response.go:13.38,14.21 1 0
stream/middleware/response.go:14.21,16.3 1 0
stream/middleware/response.go:17.2,17.17 1 0
stream/middleware/response.go:17.17,19.3 1 0
stream/middleware/response.go:22.51,23.20 1 0
stream/middleware/response.go:23.20,25.3 1 0
stream/middleware/response.go:27.2,29.108 3 0
stream/middleware/response.go:32.45,33.66 1 0
stream/middleware/response.go:33.66,34.37 1 0
stream/middleware/response.go:34.37,36.4 1 0
stream/middleware/response.go:38.2,38.19 1 0
stream/middleware/response.go:41.67,53.20 4 0
stream/middleware/response.go:53.20,56.3 2 0
stream/middleware/response.go:58.2,58.14 1 0
stream/middleware/response.go:61.81,68.17 2 0
stream/middleware/response.go:68.17,70.3 1 0
stream/middleware/response.go:72.2,72.17 1 0
stream/middleware/response.go:75.62,76.26 1 0
stream/middleware/response.go:76.26,83.3 5 0
stream/middleware/response.go:86.36,87.30 1 0
stream/middleware/response.go:87.30,90.20 3 0
stream/middleware/response.go:90.20,92.4 1 0
stream/middleware/response.go:93.3,95.11 3 0
stream/middleware/response.go:101.74,102.32 1 0
stream/middleware/response.go:102.32,103.18 1 0
stream/middleware/response.go:103.18,105.4 1 0
stream/middleware/response.go:107.3,107.21 1 0
stream/middleware/response.go:107.21,114.4 2 0
stream/middleware/response.go:116.3,122.34 5 0
stream/middleware/response.go:122.34,123.11 1 0
stream/middleware/response.go:124.38,127.11 3 0
stream/middleware/response.go:128.12,128.12 0 0
stream/middleware/response.go:131.4,131.26 1 0
stream/middleware/response.go:131.26,134.20 3 0
stream/middleware/response.go:134.20,140.11 2 0
stream/middleware/response.go:142.5,142.11 1 0
stream/middleware/response.go:145.4,145.55 1 0
stream/middleware/response.go:145.55,146.78 1 0
stream/middleware/response.go:146.78,148.6 1 0
stream/middleware/response.go:148.11,148.28 1 0
stream/middleware/response.go:148.28,151.6 2 0
stream/middleware/response.go:151.11,155.6 3 0
stream/middleware/response.go:157.5,159.49 2 0
stream/middleware/response.go:159.49,161.6 1 0
stream/middleware/response.go:165.3,165.18 1 0
stream/middleware/response.go:165.18,174.4 4 0
stream/middleware/response.go:176.3,176.12 1 0
stream/middleware/response.go:180.37,181.30 1 0
stream/middleware/response.go:181.30,186.3 4 0
stream/middleware/type.response.go:44.26,48.3 2 0
stream/internal/stream/buffer_pool.go:40.48,41.22 1 14
stream/internal/stream/buffer_pool.go:41.22,43.3 1 1
stream/internal/stream/buffer_pool.go:45.2,48.28 1 14
stream/internal/stream/buffer_pool.go:48.28,53.5 2 14
stream/internal/stream/buffer_pool.go:76.36,84.2 3 17
stream/internal/stream/buffer_pool.go:101.39,102.16 1 10
stream/internal/stream/buffer_pool.go:102.16,104.3 1 1
stream/internal/stream/buffer_pool.go:108.2,108.17 1 9
stream/internal/stream/buffer_pool.go:120.43,122.2 1 3
stream/internal/stream/buffer_pool.go:149.26,151.2 1 1
stream/internal/stream/buffer_pool.go:158.29,160.2 1 1
stream/internal/stream/helpers.go:59.81,60.60 1 0
stream/internal/stream/helpers.go:60.60,64.13 3 0
stream/internal/stream/helpers.go:64.13,69.20 4 0
stream/internal/stream/helpers.go:69.20,71.12 1 0
stream/internal/stream/helpers.go:72.23,73.12 1 0
stream/internal/stream/helpers.go:74.13,74.13 0 0
stream/internal/stream/helpers.go:78.5,79.19 2 0
stream/internal/stream/helpers.go:79.19,82.6 2 0
stream/internal/stream/helpers.go:85.5,85.12 1 0
stream/internal/stream/helpers.go:86.27,86.27 0 0
stream/internal/stream/helpers.go:87.23,88.12 1 0
stream/internal/stream/helpers.go:93.4,93.37 1 0
stream/internal/stream/helpers.go:93.37,95.5 1 0
stream/internal/stream/helpers.go:98.3,98.27 1 0
stream/internal/stream/helpers.go:132.93,135.48 2 0
stream/internal/stream/helpers.go:135.48,137.17 2 0
stream/internal/stream/helpers.go:137.17,139.4 1 0
stream/internal/stream/helpers.go:140.3,140.30 1 0
stream/internal/stream/helpers.go:143.2,143.19 1 0
stream/internal/stream/helpers.go:177.102,178.62 1 0
stream/internal/stream/helpers.go:178.62,182.13 3 0
stream/internal/stream/helpers.go:182.13,187.20 4 0
stream/internal/stream/helpers.go:187.20,189.12 1 0
stream/internal/stream/helpers.go:190.23,191.12 1 0
stream/internal/stream/helpers.go:192.13,192.13 0 0
stream/internal/stream/helpers.go:196.5,197.19 2 0
stream/internal/stream/helpers.go:197.19,200.6 2 0
stream/internal/stream/helpers.go:202.5,202.23 1 0
stream/internal/stream/helpers.go:202.23,204.13 1 0
stream/internal/stream/helpers.go:205.30,205.30 0 0
stream/internal/stream/helpers.go:206.24,207.13 1 0
stream/internal/stream/helpers.go:213.4,213.37 1 0
stream/internal/stream/helpers.go:213.37,215.5 1 0
stream/internal/stream/helpers.go:218.3,218.28 1 0
stream/internal/stream/helpers.go:241.52,242.60 1 2
stream/internal/stream/helpers.go:242.60,246.13 3 2
stream/internal/stream/helpers.go:246.13,250.31 3 2
stream/internal/stream/helpers.go:250.31,251.12 1 7
stream/internal/stream/helpers.go:252.27,252.27 0 7
stream/internal/stream/helpers.go:253.23,254.12 1 0
stream/internal/stream/helpers.go:259.3,259.27 1 2
stream/internal/stream/helpers.go:278.73,279.62 1 2
stream/internal/stream/helpers.go:279.62,283.13 3 2
stream/internal/stream/helpers.go:283.13,287.47 3 2
stream/internal/stream/helpers.go:287.47,288.12 1 7
stream/internal/stream/helpers.go:289.23,290.12 1 0
stream/internal/stream/helpers.go:291.13,291.13 0 7
stream/internal/stream/helpers.go:294.5,295.25 2 7
stream/internal/stream/helpers.go:295.25,297.6 1 2
stream/internal/stream/helpers.go:299.5,301.12 2 7
stream/internal/stream/helpers.go:302.29,302.29 0 7
stream/internal/stream/helpers.go:303.23,304.12 1 0
stream/internal/stream/helpers.go:309.3,309.28 1 2
stream/internal/stream/helpers.go:323.53,324.43 1 8
stream/internal/stream/helpers.go:324.43,326.3 1 16
stream/internal/stream/helpers.go:338.63,339.48 1 0
stream/internal/stream/helpers.go:339.48,341.30 2 0
stream/internal/stream/helpers.go:341.30,343.4 1 0
stream/internal/stream/helpers.go:344.3,344.21 1 0
stream/internal/stream/streamer.go:46.57,48.42 1 8
stream/internal/stream/streamer.go:48.42,50.48 1 0
stream/internal/stream/streamer.go:53.2,56.3 1 8
stream/internal/stream/streamer.go:93.29,96.12 2 9
stream/internal/stream/streamer.go:96.12,101.16 3 9
stream/internal/stream/streamer.go:101.16,102.22 1 9
stream/internal/stream/streamer.go:102.22,104.5 1 5
stream/internal/stream/streamer.go:108.3,115.7 4 9
stream/internal/stream/streamer.go:115.7,116.11 1 42
stream/internal/stream/streamer.go:117.22,119.11 1 2
stream/internal/stream/streamer.go:121.26,122.19 1 10
stream/internal/stream/streamer.go:122.19,127.6 2 2
stream/internal/stream/streamer.go:129.32,130.12 1 30
stream/internal/stream/streamer.go:130.12,141.6 4 4
stream/internal/stream/streamer.go:144.5,145.19 2 26
stream/internal/stream/streamer.go:145.19,150.6 2 1
stream/internal/stream/streamer.go:153.5,154.19 2 25
stream/internal/stream/streamer.go:154.19,159.6 2 0
stream/internal/stream/streamer.go:162.5,162.19 1 25
stream/internal/stream/streamer.go:162.19,164.6 1 21
stream/internal/stream/streamer.go:164.11,166.6 1 4
stream/internal/stream/streamer.go:169.5,172.48 2 25
stream/internal/stream/streamer.go:172.48,180.6 3 1
stream/internal/stream/streamer.go:185.2,190.3 1 9
stream/internal/stream/streamer.go:226.29,229.12 2 2
stream/internal/stream/streamer.go:229.12,234.16 3 2
stream/internal/stream/streamer.go:234.16,235.22 1 2
stream/internal/stream/streamer.go:235.22,237.5 1 0
stream/internal/stream/streamer.go:241.3,248.7 4 2
stream/internal/stream/streamer.go:248.7,249.11 1 11
stream/internal/stream/streamer.go:250.22,252.11 1 0
stream/internal/stream/streamer.go:254.26,255.19 1 4
stream/internal/stream/streamer.go:255.19,260.6 2 0
stream/internal/stream/streamer.go:262.34,263.12 1 7
stream/internal/stream/streamer.go:263.12,274.6 4 2
stream/internal/stream/streamer.go:277.5,278.19 2 5
stream/internal/stream/streamer.go:278.19,283.6 2 0
stream/internal/stream/streamer.go:286.5,286.38 1 5
stream/internal/stream/streamer.go:286.38,288.20 2 11
stream/internal/stream/streamer.go:288.20,293.7 2 0
stream/internal/stream/streamer.go:296.6,296.20 1 11
stream/internal/stream/streamer.go:296.20,298.7 1 9
stream/internal/stream/streamer.go:298.12,300.7 1 2
stream/internal/stream/streamer.go:303.6,306.49 2 11
stream/internal/stream/streamer.go:306.49,314.7 3 0
stream/internal/stream/streamer.go:320.2,325.3 1 2
stream/internal/stream/streamer.go:337.47,339.2 1 2
stream/internal/stream/streamer.go:357.46,359.2 1 5
stream/internal/stream/types.go:225.39,232.2 1 7
stream/internal/stream/types.go:236.40,238.27 1 11
stream/internal/stream/types.go:238.27,240.3 1 1
stream/internal/stream/types.go:241.2,241.22 1 11
stream/internal/stream/types.go:241.22,243.3 1 1
stream/internal/stream/types.go:244.2,244.23 1 11
stream/internal/stream/types.go:244.23,246.3 1 1
stream/internal/stream/types.go:247.2,247.26 1 11
stream/internal/stream/types.go:247.26,249.3 1 1
stream/internal/stream/types.go:253.2,253.12 1 11
stream/middleware/response.go:13.38,14.21 1 0
stream/middleware/response.go:14.21,16.3 1 0
stream/middleware/response.go:17.2,17.17 1 0
stream/middleware/response.go:17.17,19.3 1 0
stream/middleware/response.go:22.51,23.20 1 0
stream/middleware/response.go:23.20,25.3 1 0
stream/middleware/response.go:27.2,29.108 3 0
stream/middleware/response.go:32.45,33.66 1 0
stream/middleware/response.go:33.66,34.37 1 0
stream/middleware/response.go:34.37,36.4 1 0
stream/middleware/response.go:38.2,38.19 1 0
stream/middleware/response.go:41.67,53.20 4 0
stream/middleware/response.go:53.20,56.3 2 0
stream/middleware/response.go:58.2,58.14 1 0
stream/middleware/response.go:61.81,68.17 2 0
stream/middleware/response.go:68.17,70.3 1 0
stream/middleware/response.go:72.2,72.17 1 0
stream/middleware/response.go:75.62,76.26 1 0
stream/middleware/response.go:76.26,83.3 5 0
stream/middleware/response.go:86.36,87.30 1 0
stream/middleware/response.go:87.30,90.20 3 0
stream/middleware/response.go:90.20,92.4 1 0
stream/middleware/response.go:93.3,95.11 3 0
stream/middleware/response.go:101.74,102.32 1 0
stream/middleware/response.go:102.32,103.18 1 0
stream/middleware/response.go:103.18,105.4 1 0
stream/middleware/response.go:107.3,107.21 1 0
stream/middleware/response.go:107.21,114.4 2 0
stream/middleware/response.go:116.3,122.34 5 0
stream/middleware/response.go:122.34,123.11 1 0
stream/middleware/response.go:124.38,127.11 3 0
stream/middleware/response.go:128.12,128.12 0 0
stream/middleware/response.go:131.4,131.26 1 0
stream/middleware/response.go:131.26,134.20 3 0
stream/middleware/response.go:134.20,140.11 2 0
stream/middleware/response.go:142.5,142.11 1 0
stream/middleware/response.go:145.4,145.55 1 0
stream/middleware/response.go:145.55,146.78 1 0
stream/middleware/response.go:146.78,148.6 1 0
stream/middleware/response.go:148.11,148.28 1 0
stream/middleware/response.go:148.28,151.6 2 0
stream/middleware/response.go:151.11,155.6 3 0
stream/middleware/response.go:157.5,159.49 2 0
stream/middleware/response.go:159.49,161.6 1 0
stream/middleware/response.go:165.3,165.18 1 0
stream/middleware/response.go:165.18,174.4 4 0
stream/middleware/response.go:176.3,176.12 1 0
stream/middleware/response.go:180.37,181.30 1 0
stream/middleware/response.go:181.30,186.3 4 0
stream/middleware/type.response.go:44.26,48.3 2 0
